timestamp,arp_total,arp_request_count,arp_reply_count,req_reply_ratio,gratuitous_arp_count,broadcast_count,packet_rate,request_rate,reply_rate,src_ip_entropy,src_mac_entropy,target_ip_entropy,unique_src_ip_count,unique_src_mac_count,top1_ip_share,digest_sample_count,ip_mac_consistency_score,new_ip_ratio,digests_processed,packets_dropped,cpu_load,ctx_voluntary,ctx_involuntary,mem_rss_bytes,digest_latency_mean_us,digest_latency_max_us,iat_mean_ms,iat_min_ms,iat_std_ms,window_buf_depth,flush_duration_ms,label
2026-05-01T22:58:41,55350,49138,6212,7.9089,0,49138,18437.6373,16368.3581,2069.2792,11.1771,11.2008,1.609,4433,4494,0.1167,5535,0.1205,0.9619,5535,0,1.38,3,0,80723968,24.74,662.1,0.5468,-26.1084,0.8061,5535,25.15,1
2026-05-01T22:58:44,63700,51828,11872,4.3652,0,51828,21221.7349,17266.5632,3955.1717,10.5706,10.5971,2.591,4664,4743,0.186,6370,0.1205,0.964,6370,0,1.48,3,0,81506304,24.46,752.26,0.4755,-0.1748,0.4592,6370,29.05,1
2026-05-01T22:58:47,56990,49370,7620,6.4782,0,49370,18986.9822,16448.2771,2538.7051,11.0786,11.1115,1.7706,4472,4556,0.1281,5699,0.1047,0.9629,5699,0,1.4,3,0,82096128,25.05,548.86,0.5309,-18.3773,0.6439,5699,26.87,1
2026-05-01T22:58:50,59910,50869,9031,5.6321,10,184600244,19963.2445,16950.5973,3009.315,10.8777,10.9062,2.0105,4374,4449,0.1447,5991,0.1107,0.9696,5991,0,1.43,3,0,82825216,25.54,1173.79,0.5058,-21.1771,0.8177,5991,24.38,1
2026-05-01T22:58:53,61540,51411,10129,5.0751,0,51411,20488.2728,17116.0642,3372.2086,10.6166,10.6411,2.3661,4324,4393,0.1703,6154,0.1034,0.96,6154,0,1.48,12,0,83562496,24.76,584.07,0.4923,0.0068,0.4688,6154,28.87,1
2026-05-01T22:58:56,56330,50302,6028,8.3433,0,50302,18767.1018,16758.7921,2008.3098,11.2222,11.25,1.3789,4191,4254,0.0998,5633,0.1157,0.9592,5633,0,1.38,4,0,84135936,25.58,2668.02,0.5385,-31.158,0.9092,5633,27.67,1
2026-05-01T22:58:59,62590,50952,11638,4.3777,0,50952,20848.4545,16971.8877,3876.5668,10.6288,10.6568,2.4123,4464,4538,0.1734,6259,0.0912,0.9648,6259,0,1.51,4,1,84914176,25.09,840.81,0.4844,-0.2524,0.488,6259,27.64,1
2026-05-01T22:59:02,59030,50977,8053,6.3294,0,50977,19663.7632,16981.1902,2682.573,10.8763,10.8992,1.932,4221,4282,0.1394,5903,0.0898,0.9595,5903,0,1.43,3,0,85549056,25.34,1305.59,0.5128,0.0077,0.5507,5903,26.77,1
2026-05-01T22:59:05,60010,50208,9802,5.1217,0,50208,19992.8483,16727.2275,3265.6207,10.7391,10.7653,2.2868,4512,4586,0.165,6001,0.0946,0.9619,6001,0,1.43,9,0,86216704,25.06,1328.74,0.5042,-24.9697,0.7522,6001,32.3,1
2026-05-01T22:59:08,62900,51856,11044,4.695,3,51856,20956.7537,17277.1608,3679.5928,10.7056,10.7348,2.3961,4659,4746,0.1722,6290,0.0839,0.9614,6290,0,1.51,3,0,87056384,25.65,2548.61,0.4819,-18.3356,0.643,6290,31.98,1
2026-05-01T22:59:11,57700,50218,7482,6.7109,3,50218,19194.9432,16705.9213,2489.0219,11.1024,11.1311,1.7427,4493,4572,0.126,5770,0.0881,0.9582,5770,0,1.4,3,0,87687168,25.95,810.97,0.5247,-25.4449,0.9047,5770,39.95,1
2026-05-01T22:59:14,61520,49636,11884,4.1764,0,49636,20498.0002,16538.341,3959.6592,10.4288,10.4583,2.6963,4445,4529,0.1944,6152,0.0745,0.9633,6152,0,1.53,3,0,88522752,25.75,587.22,0.4932,-34.2444,0.8515,6152,23.71,1
2026-05-01T22:59:17,58330,50045,8285,6.0397,0,50045,19429.4039,16669.7157,2759.6882,10.9544,10.9802,1.9848,4531,4602,0.1435,5833,0.0779,0.9642,5833,0,1.4,5,0,89145344,25.76,663.68,0.519,0.0082,0.6219,5833,28.4,1
2026-05-01T22:59:20,58490,50040,8450,5.9212,0,50040,19488.0772,16672.6514,2815.4257,10.7918,10.8178,2.1575,4402,4472,0.1561,5849,0.072,0.9671,5849,0,1.43,5,0,89878528,25.57,1038.07,0.5184,-30.9231,0.9219,5849,28.18,1
2026-05-01T22:59:23,62270,51151,11119,4.5999,0,51151,20740.4128,17036.9818,3703.431,10.5043,10.5303,2.6023,4475,4551,0.1872,6227,0.0813,0.9622,6227,0,1.46,6,0,90660864,24.8,1248.4,0.4859,0.0087,0.4845,6227,24.89,1
2026-05-01T22:59:27,56010,49066,6944,7.0649,0,49066,18649.7968,16337.6349,2312.1619,11.0151,11.037,1.8096,4353,4410,0.1312,5601,0.0703,0.9667,5601,0,1.38,3,0,91262976,25.64,1128.71,0.5409,-21.3987,0.7383,5601,27.38,1
2026-05-01T22:59:30,63720,51374,12346,4.1608,3,51374,21226.5062,17113.7874,4112.7189,10.4219,10.4512,2.7521,4562,4642,0.1979,6372,0.0603,0.9665,6372,0,1.51,3,0,92094464,24.87,600.85,0.4747,-24.9434,0.6616,6372,43.7,1
2026-05-01T22:59:33,59250,51357,7893,6.5058,0,51357,19739.4643,17109.8678,2629.5965,10.9926,11.0303,1.9342,4559,4660,0.1396,5925,0.061,0.9627,5925,0,1.43,3,0,92725248,24.58,547.92,0.5144,0.0068,0.6916,5925,28.15,1
2026-05-01T22:59:36,59840,51117,8723,5.8594,0,51117,19940.1836,17033.462,2906.7216,10.8709,10.9025,2.1341,4593,4683,0.1539,5984,0.0603,0.9634,5984,0,1.46,3,0,93466624,25.58,2091.53,0.5052,-0.3561,0.5161,5984,22.09,1
2026-05-01T22:59:39,62562,50734,11834,4.2868,2,184600101,20844.1601,16903.3538,3942.8054,10.4818,10.511,2.6628,4532,4620,0.1915,6257,0.0554,0.9693,6257,0,1.48,5,0,94285824,25.11,897.51,0.4826,0.0073,0.4711,6257,30.08,1
2026-05-01T22:59:42,56740,49018,7722,6.347,0,49018,18900.3945,16328.1554,2572.2391,10.988,11.0177,1.8896,4432,4511,0.1369,5674,0.0532,0.9689,5674,0,1.38,5,0,94941184,26.5,1295.61,0.5328,-12.1707,0.6457,5674,27.46,1
2026-05-01T22:59:45,63400,50564,12836,3.9389,0,50564,21121.1889,16844.981,4276.2079,10.4181,10.4467,2.76,4558,4645,0.1984,6340,0.0467,0.9647,6340,0,1.54,3,0,95784960,26.07,595.73,0.4781,-29.9105,0.7649,6340,31.87,1
2026-05-01T22:59:48,58290,49928,8362,5.9701,0,49928,19419.2339,16633.445,2785.7889,10.9696,11.0009,1.95,4508,4593,0.1408,5829,0.0552,0.9614,5829,0,1.43,6,0,96444416,26.11,984.41,0.5195,-0.122,0.6367,5829,27.98,1
2026-05-01T22:59:51,61270,51024,10246,4.9794,0,51024,20410.2384,16997.0949,3413.1435,10.6467,10.6751,2.4288,4539,4618,0.175,6127,0.0436,0.9601,6127,0,1.46,3,0,97230848,25.56,1031.42,0.4938,-24.8625,0.7971,6127,25.91,1
2026-05-01T22:59:54,62380,50917,11463,4.4415,0,50917,20783.7912,16964.5447,3819.2465,10.6041,10.6336,2.4936,4555,4638,0.1794,6238,0.0419,0.9627,6238,0,1.48,3,0,98025472,24.95,2045.56,0.4856,0.0077,0.4862,6238,29.84,1
2026-05-01T22:59:57,57850,50490,7360,6.8591,0,50490,19274.0631,16821.9092,2452.1539,11.1451,11.1759,1.6779,4501,4583,0.1212,5785,0.0438,0.9622,5785,0,1.4,3,0,98689024,24.76,589.41,0.5243,0.0072,0.5692,5785,29.35,1
2026-05-01T23:00:00,63450,51116,12334,4.144,0,51116,21127.6951,17020.6976,4106.9975,10.448,10.4761,2.7064,4537,4618,0.1945,6345,0.0417,0.9641,6345,0,1.48,3,0,99594240,25.06,687.71,0.4769,-26.5649,0.8435,6345,31.61,1
2026-05-01T23:00:03,56820,50055,6765,7.398,0,50055,18925.9487,16672.6217,2253.3271,11.1203,11.1529,1.7025,4466,4549,0.1232,5682,0.0349,0.9644,5682,0,1.38,5,0,100286464,25.03,1365.84,0.5345,-24.0851,0.913,5682,28.05,1
2026-05-01T23:00:06,60360,50632,9728,5.2042,0,50632,20113.6284,16871.9886,3241.6398,10.7303,10.7599,2.2887,4496,4576,0.165,6036,0.0363,0.968,6036,0,1.46,3,0,101068800,25.03,643.98,0.5022,-19.5108,0.7116,6036,27.94,1
2026-05-01T23:00:09,61560,51369,10191,5.0401,0,51369,20511.1096,17115.5813,3395.5282,10.6645,10.6911,2.3749,4488,4561,0.1711,6156,0.0354,0.965,6156,0,1.46,3,0,101847040,24.41,603.93,0.4914,-0.6328,0.5213,6156,30.77,1
